,compression,epoch,val_acc,val_loss,acc,loss
0,,0.0,0.8778796792030334,0.3180622458457947,0.8348355293273926,0.5778507590293884
1,,1.0,0.9044956564903259,0.2403700351715088,0.8880046010017395,0.2859232723712921
2,,2.0,0.8912994861602783,0.26523706316947937,0.8996548056602478,0.2523675858974457
3,,3.0,0.9201520681381226,0.20796214044094086,0.9091954827308655,0.2342192381620407
4,,4.0,0.9210467338562012,0.20274165272712708,0.9169623255729675,0.2138112634420395
5,,5.0,0.9252963662147522,0.1902552843093872,0.920893669128418,0.2057611495256424
6,,6.0,0.931782603263855,0.17588341236114502,0.9225237369537354,0.1967160552740097
7,,7.0,0.9167971611022949,0.20563355088233948,0.9264550805091858,0.1911695897579193
8,,8.0,0.9335719347000122,0.16356272995471954,0.9277015924453735,0.184225931763649
9,,9.0,0.9264146685600281,0.1818527728319168,0.9295234680175781,0.17976577579975128
