,compression,epoch,val_acc,val_loss,acc,loss
0,,0.0,0.7917692065238953,0.4329841732978821,0.7701122164726257,77.48009490966797
1,,1.0,0.7951241135597229,0.44493502378463745,0.8077476024627686,0.4413143992424011
2,,2.0,0.8367255926132202,0.3878200948238373,0.8227538466453552,0.4111664295196533
3,,3.0,0.8382912278175354,0.39859163761138916,0.8345478773117065,0.3866972029209137
4,,4.0,0.8624469041824341,0.34558436274528503,0.8470610976219177,0.3655962347984314
5,,5.0,0.8577499389648438,0.3606654405593872,0.8529101610183716,0.3505921959877014
6,,6.0,0.8564079403877258,0.33861568570137024,0.8578962683677673,0.34346532821655273
7,,7.0,0.8655781745910645,0.3232932388782501,0.8633138537406921,0.3367640972137451
8,,8.0,0.8212927579879761,0.44295451045036316,0.813117265701294,0.4316225051879883
9,,9.0,0.8221874237060547,0.3983269929885864,0.8144596815109253,0.4226984679698944
10,,10.0,0.8481324315071106,0.39370957016944885,0.829609751701355,0.3952697813510895
11,,11.0,0.8566316366195679,0.34722691774368286,0.8442803621292114,0.37275081872940063
12,,12.0,0.8360545635223389,0.39285364747047424,0.8550676107406616,0.3505311906337738
13,,13.0,0.8843659162521362,0.30169788002967834,0.8708409070968628,0.32810720801353455
14,,14.0,0.7586669921875,0.43047240376472473,0.8530539870262146,0.3801693022251129
15,,15.0,0.8666964769363403,0.3336319625377655,0.8531978130340576,0.3598053753376007
16,,16.0,0.8848132491111755,0.29058972001075745,0.8648480176925659,0.34004151821136475
17,,17.0,0.8626705408096313,0.33343154191970825,0.8747722506523132,0.3166361153125763
18,,18.0,0.8581972718238831,0.34159815311431885,0.8646562695503235,0.3350025713443756
19,,19.0,0.8655781745910645,0.34202784299850464,0.867580771446228,0.33797237277030945
20,,20.0,0.8646835088729858,0.3629319667816162,0.867436945438385,0.3337302505970001
21,,21.0,0.8738537430763245,0.30335533618927,0.8769297003746033,0.3186119794845581
22,,22.0,0.8879445195198059,0.28934934735298157,0.8702176809310913,0.32885172963142395
23,,23.0,0.8843659162521362,0.3054238557815552,0.8852238655090332,0.29475507140159607
24,,24.0,0.8669201731681824,0.32819607853889465,0.8780803680419922,0.3152642250061035
25,,25.0,0.8944307565689087,0.2920418679714203,0.879758358001709,0.3053012490272522
26,,26.0,0.8928651213645935,0.2793661057949066,0.8827308416366577,0.30725836753845215
27,,27.0,0.89510178565979,0.2855709195137024,0.8808131217956543,0.30961641669273376
28,,28.0,0.866249144077301,0.33603259921073914,0.8809090256690979,0.30402377247810364
29,,29.0,0.898904025554657,0.2614096701145172,0.8873813152313232,0.2892763018608093
